은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,고령인구비율,동별지점수,지점당인구수,클러스터,정책제안클러스터
153,NH농협은행,대구영업부,대구광역시 북구 대현동 대구광역시 북구 신암로 67,북구,대현동,35.8781574,128.6077596,4.72,7.6,15719,4215,5.85,4,1.71,4,
154,NH농협은행,대구유통단지지점,대구광역시 북구 산격2동 대구광역시 북구 유통단지로8길 13,북구,산격2동,35.90453071,128.6078426,3.25,6.23,9645,2523,5.67,4,1.36,6,
155,NH농협은행,대구중동금융센터,대구광역시 수성구 중동 대구광역시 수성구 희망로 124,수성구,중동,35.8468855,128.6119161,3.6,3.38,14508,2676,3.54,3,1.92,7,
156,NH농협은행,대구중앙금융센터,"대구광역시 중구 남산2동 대구광역시 중구 달구벌대로 2090 1층, 15층",중구,남산2동,35.86539096,128.592076,3.38,8.2,7147,1230,3.2,2,1.63,4,
157,NH농협은행,대구혁신도시지점,대구광역시 동구 혁신동 대구광역시 동구 이노밸리로 321,동구,혁신동,35.87815189,128.7321735,1.51,1.43,16805,2165,2.01,8,1.29,3,
158,NH농협은행,대명동지점,대구광역시 남구 대명10동 대구광역시 남구 대명로 117,남구,대명10동,35.83987279,128.5700371,3.28,7.25,8096,2676,7.57,2,1.74,5,
159,NH농협은행,동인동지점,대구광역시 중구 동인동 대구광역시 중구 국채보상로 729,중구,동인동,35.86882689,128.610504,4.41,1.1,10616,2145,4.03,4,1.42,7,
160,NH농협은행,동촌지점,대구광역시 동구 동촌동 대구광역시 동구 해동로 231,동구,동촌동,35.88483817,128.6539153,2.36,3.51,14179,4233,6.68,1,4.07,0,
161,NH농협은행,두류지점,대구광역시 서구 내당1동 대구광역시 서구 달구벌대로 1797,서구,내당1동,35.85955487,128.5613962,3.9,6.18,9351,2442,5.65,2,1.88,6,
162,NH농협은행,만촌금융센터,대구광역시 수성구 만촌3동 대구광역시 수성구 달구벌대로 2598,수성구,만촌3동,35.85824151,128.6466174,2.56,7.6,21282,2545,1.75,2,3.26,4,
163,NH농협은행,매천시장지점,대구광역시 북구 관문동 대구광역시 북구 매천로18길 34,북구,관문동,35.90086265,128.5432494,2.29,4.87,32670,5712,3.28,2,4.57,7,
164,NH농협은행,메트로팔레스지점,대구광역시 수성구 만촌1동 대구광역시 수성구 화랑로 50 자삼빌딩1층,수성구,만촌1동,35.87031554,128.6335003,3.26,4.18,20597,4732,4.79,3,2.39,7,
165,NH농협은행,범물지점,대구광역시 수성구 지산2동 대구광역시 수성구 지범로 182 1층,수성구,지산2동,35.82107641,128.6390981,7.78,6.78,18475,4718,5.5,2,2.93,1,
166,NH농협은행,범어동지점,대구광역시 수성구 범어3동 대구광역시 수성구 동대구로 351 법무빌딩 1층,수성구,범어3동,35.86183389,128.6261193,3.75,3.5,17294,1956,1.58,3,2.13,7,
167,NH농협은행,봉덕지점,대구광역시 남구 봉덕1동 대구광역시 남구 봉덕로 125,남구,봉덕1동,35.84470535,128.6041069,4.37,5.62,7906,2480,7.1,5,1.17,6,
168,NH농협은행,북성로지점,대구광역시 중구 성내1동 대구광역시 중구 중앙대로 464-4 ( 북성로 1가 84-1 ),중구,성내1동,35.87436813,128.5949639,3.09,8.44,5094,912,3.39,4,1.1,4,
169,NH농협은행,서문시장지점,"대구광역시 중구 대신동 대구광역시 중구 국채보상로 456 NH농협은행 서문지장지점, 2층",중구,대신동,35.87023021,128.5805371,3.52,6.43,7382,1671,4.7,4,1.23,4,
170,NH농협은행,성당지점,대구광역시 남구 대명4동 대구광역시 남구 성당로 152,남구,대명4동,35.84799459,128.5690295,2.54,3.78,9402,3085,7.5,3,1.53,0,
171,NH농협은행,성서공단지점,대구광역시 달서구 이곡2동 대구광역시 달서구 성서로 329 2층,달서구,이곡2동,35.84681287,128.5064358,1.6,1.0,14451,3260,4.67,8,1.22,3,
172,NH농협은행,성서지점,대구광역시 달서구 이곡1동 대구광역시 달서구 이곡공원로 46,달서구,이곡1동,35.85502005,128.5123905,6.73,6.3,20168,3479,3.21,3,2.35,1,
173,NH농협은행,수성금융센터,대구광역시 수성구 수성2.3가동 대구광역시 수성구 달구벌대로 2340,수성구,수성2.3가동,35.85921726,128.6183983,6.03,4.16,10377,2099,4.03,5,1.28,1,
174,NH농협은행,신천역지점,대구광역시 동구 신천1.2동 대구광역시 동구 동부로 17,동구,신천1.2동,35.8742933,128.6145846,6.39,2.82,11280,3648,7.37,1,3.41,6,
175,NH농협은행,안심지점,대구광역시 동구 안심4동 대구광역시 동구 반야월로 202,동구,안심4동,35.87196683,128.7104595,4.11,2.9,26642,5255,3.89,3,2.85,7,
176,NH농협은행,원대금융센터,대구광역시 서구 원대동 대구광역시 서구 달서천로83길 6,서구,원대동,35.88202064,128.5780262,4.18,5.67,10175,2669,5.69,1,3.15,6,
177,NH농협은행,장기동지점,대구광역시 달서구 장기동 대구광역시 달서구 용산로 84,달서구,장기동,35.84482891,128.5309928,4.16,4.8,15540,3069,3.9,2,2.6,7,
178,NH농협은행,정부대구지방합동청사<출>,대구광역시 달서구 진천동 대구광역시 달서구 화암로 301,달서구,진천동,35.80483867,128.5164768,3.87,1.42,49953,9711,3.82,5,3.11,7,
179,NH농협은행,칠곡지점,대구광역시 북구 읍내동 대구광역시 북구 칠곡중앙대로 543,북구,읍내동,35.94408085,128.5505527,4.13,5.67,25202,5239,4.19,1,6.61,2,
180,NH농협은행,칠성동지점,대구광역시 북구 칠성동 대구광역시 북구 칠성시장로 29,북구,칠성동,35.87666866,128.6035978,3.98,7.6,22699,4235,3.6,3,2.55,4,
181,NH농협은행,침산지점,대구광역시 북구 침산3동 대구광역시 북구 침산남로19길 2,북구,침산3동,35.8894265,128.5869152,10.0,2.75,18019,3852,4.35,2,2.88,1,
182,NH농협은행,평리지점,대구광역시 서구 평리4동 대구광역시 서구 국채보상로 256,서구,평리4동,35.87090068,128.5590932,4.32,3.15,15549,4081,5.69,4,1.7,0,
183,NH농협은행,효목금융센터,대구광역시 동구 효목2동 대구광역시 동구 효목로 40,동구,효목2동,35.87683604,128.6400425,2.61,4.1,14055,3756,5.82,3,1.89,0,
184,신한은행,경북대학교,대구 북구 산격동 대학로 80,북구,대현동,35.88909749,128.6143223,3.11,1.0,15719,4215,5.85,4,1.71,0,
185,신한은행,대구3공단금융센터,대구 북구 노원동3가 노원로 131,북구,노원동,35.8975226,128.5750295,2.05,1.7,11171,3107,6.12,4,1.45,0,
186,신한은행,대구법원,대구 수성구 범어동 동대구로 364,수성구,범어2동,35.86229387,128.6289029,2.91,1.91,14124,2568,3.47,6,1.35,3,
187,신한은행,대구위브더제니스,대구 수성구 범어동 달구벌대로 2435,수성구,범어2동,35.86098925,128.628268,3.04,4.06,14124,2568,3.47,6,1.35,7,
188,신한은행,대구죽전역,대구 달서구 감삼동 달구벌대로 1530,달서구,감삼동,35.84933926,128.5339189,4.17,6.55,30856,4806,2.75,3,3.18,4,
189,신한은행,대구지방법원등기국(출),대구 동구 효목동 동부로 212,동구,효목2동,35.87893295,128.6355517,2.47,1.53,14055,3756,5.82,3,1.89,0,
190,신한은행,대신동,대구 중구 대신동 달성로 37,중구,대신동,35.86846404,128.5818726,3.7,10.0,7382,1671,4.7,4,1.23,4,
191,신한은행,삼성창조캠퍼스,대구 북구 침산동 호암로 51,북구,침산2동,35.88368682,128.5959754,5.57,3.94,17970,2779,2.72,2,2.88,7,
192,신한은행,성서,대구 달서구 이곡동 계대동문로 126,달서구,이곡2동,35.85507288,128.5062352,4.8,7.41,14451,3260,4.67,8,1.22,4,
193,신한은행,성서공단기업금융1센터,대구 달서구 호산동 달서대로 463,달서구,신당동,35.84067822,128.4913112,1.0,1.0,28366,5444,3.75,6,1.9,3,
194,신한은행,성서공단기업금융2센터,대구 달서구 호산동 달서대로 463,달서구,신당동,35.84067822,128.4913112,1.0,1.0,28366,5444,3.75,6,1.9,3,
195,신한은행,시지,대구 수성구 신매동 달구벌대로 3218,수성구,고산1동,35.83935146,128.708263,8.58,5.22,31453,5172,2.99,4,2.62,1,
196,신한은행,신한PWM대구센터,대구 중구 봉산동 달구벌대로 2125,중구,성내1동,35.86531397,128.5962609,2.86,8.5,5094,912,3.39,4,1.1,4,
197,신한은행,월배,대구 달서구 진천동 월배로 92,달서구,진천동,35.8139176,128.5246904,6.22,4.25,49953,9711,3.82,5,3.11,1,
198,신한은행,칠곡,대구 북구 동천동 학정로 431,북구,동천동,35.94331137,128.5632635,5.25,7.6,25204,3301,2.07,3,2.74,4,
199,신한은행,한국교육학술정보원,대구 동구 동내동 동내로 64,동구,혁신동,35.87630255,128.7357103,1.55,1.0,16805,2165,2.01,8,1.29,3,
200,신한은행,황금네거리,대구 수성구 두산동 동대구로 95,수성구,두산동,35.83790579,128.6226467,2.95,3.31,14782,2511,3.14,2,2.51,7,
201,우리은행,대구3공단지점,대구 서구 비산동 팔달로,서구,비산7동,35.88969033,128.5570703,1.98,8.8,8379,2755,7.52,2,1.77,5,5.0
202,우리은행,대구중동지점,대구 수성구 중동 수성로,수성구,중동,35.8389995,128.6097648,3.58,3.63,14508,2676,3.54,3,1.92,7,
203,우리은행,대구테크노폴리스지점,대구 달성군 유가읍 테크노상업로,달성군,현풍읍,35.69354894,128.4566612,6.02,1.65,21426,3969,3.56,2,3.27,7,
204,우리은행,대구혁신도시금융센터,대구 동구 신서동 이노밸리로,동구,혁신동,35.87868385,128.7164385,2.8,2.26,16805,2165,2.01,8,1.29,3,
205,우리은행,명덕금융센터,대구 남구 대명동 중앙대로,남구,대명5동,35.84254008,128.5893457,2.34,2.2,7424,1545,4.19,3,1.38,3,
206,우리은행,범물동지점,대구 수성구 범물동 지범로,수성구,범물1동,35.82265377,128.6442296,6.9,5.97,9928,4159,10.0,2,1.95,5,
207,우리은행,범어동지점,대구 수성구 범어동 달구벌대로,수성구,고산2동,35.84992033,128.6668201,1.19,1.94,25996,5025,3.79,2,3.8,3,
208,우리은행,상인동지점,대구 달서구 상인동 월배로,달서구,상인1동,35.81986152,128.5407751,4.7,4.55,32705,6628,4.04,5,2.31,7,
209,우리은행,성당동지점,대구 남구 대명동 월배로,남구,대명11동,35.83635647,128.55654,3.32,7.6,7366,2610,8.22,1,2.5,5,
210,우리은행,성서금융센터,대구 달서구 이곡동 성서로,달서구,이곡1동,35.85094017,128.5080524,3.38,4.13,20168,3479,3.21,3,2.35,7,
211,우리은행,신암동금융센터,대구 동구 신암동 아양로,동구,신암4동,35.88554268,128.6322611,6.4,5.88,18373,3784,4.13,2,2.92,1,
212,우리은행,신용보증기금지점,대구 동구 신서동 첨단로,동구,혁신동,35.88186039,128.7312975,1.1,1.37,16805,2165,2.01,8,1.29,3,
213,우리은행,유통단지지점,대구 북구 산격동 유통단지로,북구,산격2동,35.90722008,128.609657,2.34,5.14,9645,2523,5.67,4,1.36,6,
214,우리은행,칠곡지점,대구 북구 동천동 팔거천동로,북구,동천동,35.93384793,128.5588893,6.93,8.8,25204,3301,2.07,3,2.74,1,
215,우리은행,평리동지점,대구 서구 평리동 서대구로,서구,상중이동,35.86360228,128.5532717,5.77,3.25,17434,4650,5.81,2,2.81,6,
216,하나은행,대구,"대구광역시 중구 국채보상로 648 1,2층",중구,동인동,35.86935,128.6011,2.66,6.4,10616,2145,4.03,4,1.42,4,
217,하나은행,대구3공단금융센터,대구광역시 북구 오봉로 8,북구,노원동,35.8883877,128.5765139,3.67,6.66,11171,3107,6.12,4,1.45,6,
218,하나은행,대구강북금융센터,대구광역시 북구 학정로 426,북구,구암동,35.94269131,128.5639889,5.58,6.4,31074,4860,2.77,4,2.6,1,
219,하나은행,대구대신금융센터,대구광역시 중구 달구벌대로 1935,중구,대신동,35.86337179,128.575975,5.21,3.75,7382,1671,4.7,4,1.23,7,
220,하나은행,대구범어금융센터,대구광역시 수성구 달구벌대로 2367 상가,수성구,수성4가동,35.85974531,128.6218608,4.89,4.39,13129,3360,5.51,1,3.83,6,
221,하나은행,대구성서금융센터,대구광역시 달서구 성서로 399,달서구,이곡2동,35.85318837,128.506782,4.19,7.46,14451,3260,4.67,8,1.22,4,
222,하나은행,대구죽전,대구광역시 달서구 달구벌대로 1542,달서구,감삼동,35.84956319,128.5357182,3.96,4.74,30856,4806,2.75,3,3.18,7,
223,하나은행,대구중앙,대구광역시 중구 달구벌대로 2108 하나은행(대구중앙지점),중구,남산1동,35.86502935,128.5941603,3.15,7.66,5097,1033,4.04,2,1.39,4,
224,하나은행,대구혁신도시,대구광역시 동구 이노밸리로 309,동구,혁신동,35.8782852,128.7310092,1.59,1.74,16805,2165,2.01,8,1.29,3,
225,하나은행,가스공사,대구광역시 동구 첨단로 120 한국가스공사,동구,혁신동,35.88680623,128.7298509,1.03,1.0,16805,2165,2.01,8,1.29,3,
226,하나은행,달성,대구광역시 달성군 논공중앙로34길 1,달성군,논공읍,35.72969159,128.4540414,1.86,1.0,4224,1380,7.46,5,1.0,0,
227,하나은행,동성로,대구광역시 중구 중앙대로 394,중구,성내1동,35.86832614,128.593973,2.36,10.0,5094,912,3.39,4,1.1,4,
228,하나은행,범어역,대구광역시 수성구 동대구로 330,수성구,범어2동,35.85972754,128.6273453,3.28,4.78,14124,2568,3.47,6,1.35,7,
229,하나은행,본리동,대구광역시 달서구 구마로 184,달서구,본동,35.83684663,128.5478683,5.39,5.06,11812,3068,5.62,2,2.17,6,
230,하나은행,봉덕,대구광역시 남구 중앙대로 146,남구,봉덕1동,35.84617468,128.5908774,2.65,4.37,7906,2480,7.1,5,1.17,0,
231,하나은행,상인동,대구광역시 달서구 월배로 219 상인동 CENTRO TOWER,달서구,상인1동,35.81910471,128.5370819,5.14,5.94,32705,6628,4.04,5,2.31,1,
232,하나은행,성서공단,대구광역시 달서구 달구벌대로 1130,달서구,신당동,35.85098403,128.4911764,2.0,4.21,28366,5444,3.75,6,1.9,7,
233,하나은행,수성동,대구광역시 수성구 명덕로 368 우방한가람타운,수성구,수성1가동,35.85433928,128.6107288,6.48,6.11,17148,4021,4.92,2,2.78,1,
234,하나은행,시지,대구광역시 수성구 달구벌대로 3188 아레나스포츠센터,수성구,고산1동,35.84032058,128.7052157,6.84,4.29,31453,5172,2.99,4,2.62,1,
235,하나은행,진천동,대구광역시 달서구 월배로 80,달서구,진천동,35.81365256,128.5239231,6.32,4.25,49953,9711,3.82,5,3.11,1,
236,하나은행,황금동,대구광역시 수성구 청수로 214,수성구,황금1동,35.8391364,128.6305135,5.62,1.43,21494,3483,2.92,2,3.28,7,
